Year,Ceremony,Award,Winner,Name,Film
1929/1930,3,Sound Recording,1,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/1930,3,Sound Recording,,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1929/1930,3,Sound Recording,,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1929/1930,3,Sound Recording,,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1929/1930,3,Sound Recording,,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
1929/1930,3,Writing,,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
1929/1930,3,Writing,1,The Big House ,Frances Marion
1929/1930,3,Writing,,Disraeli ,(Julian Josephson)
1929/1930,3,Writing,,The Divorcee ,(John Meehan)
1929/1930,3,Writing,,Street of Chance ,(Howard Estabrook)
1930/1931,4,Actor,1,Lionel Barrymore,A Free Soul
1930/1931,4,Actor,,Jackie Cooper,Skippy
1930/1931,4,Actor,,Richard Dix,Cimarron
1930/1931,4,Actor,,Fredric March,The Royal Family of Broadway
1930/1931,4,Actor,,Adolphe Menjou,The Front Page
1930/1931,4,Actress,,Marlene Dietrich,Morocco
1930/1931,4,Actress,1,Marie Dressler,Min and Bill
1930/1931,4,Actress,,Irene Dunne,Cimarron
1930/1931,4,Actress,,Ann Harding,Holiday
1930/1931,4,Actress,,Norma Shearer,A Free Soul
1930/1931,4,Art Direction,1,Cimarron ,Max Rée
1930/1931,4,Art Direction,,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
1930/1931,4,Art Direction,,Morocco ,Hans Dreier
1930/1931,4,Art Direction,,Svengali ,Anton Grot
1930/1931,4,Art Direction,,Whoopee! ,Richard Day
1930/1931,4,Cinematography,,Cimarron ,Edward Cronjager
1930/1931,4,Cinematography,,Morocco ,Lee Garmes
1930/1931,4,Cinematography,,The Right to Love ,Charles Lang
1930/1931,4,Cinematography,,Svengali ,Barney Chick McGill
1930/1931,4,Cinematography,1,Tabu ,Floyd Crosby
1930/1931,4,Directing,,Cimarron ,Wesley Ruggles
1930/1931,4,Directing,,A Free Soul ,Clarence Brown
1930/1931,4,Directing,,The Front Page ,Lewis Milestone
1930/1931,4,Directing,,Morocco ,Josef Von Sternberg
1930/1931,4,Directing,1,Skippy ,Norman Taurog
1930/1931,4,Outstanding Production,1,Cimarron ,RKO Radio
1930/1931,4,Outstanding Production,,East Lynne ,Fox
1930/1931,4,Outstanding Production,,The Front Page ,The Caddo Company
1930/1931,4,Outstanding Production,,Skippy ,Paramount Publix
1930/1931,4,Outstanding Production,,Trader Horn ,Metro-Goldwyn-Mayer
1930/1931,4,Sound Recording,,Samuel Goldwyn - United Artists Studio Sound Department,
1930/1931,4,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department,
1930/1931,4,Sound Recording,1,Paramount Publix Studio Sound Department,
1930/1931,4,Sound Recording,,RKO Radio Studio Sound Department,
1930/1931,4,Writing (Adaptation),1,Cimarron ,Howard Estabrook
1930/1931,4,Writing (Adaptation),,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
1930/1931,4,Writing (Adaptation),,Holiday ,Horace Jackson
1930/1931,4,Writing (Adaptation),,Little Caesar ,"Francis Faragoh, Robert N. Lee"
1930/1931,4,Writing (Adaptation),,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
1930/1931,4,Writing (Original Story),1,The Dawn Patrol ,John Monk Saunders
1930/1931,4,Writing (Original Story),,The Doorway to Hell ,Rowland Brown
1930/1931,4,Writing (Original Story),,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1930/1931,4,Writing (Original Story),,The Public Enemy ,"John Bright, Kubec Glasmon"
1930/1931,4,Writing (Original Story),,Smart Money ,"Lucien Hubbard, Joseph Jackson"
1931/1932,5,Actor,1,Wallace Beery,The Champ
1931/1932,5,Actor,,Alfred Lunt,The Guardsman
1931/1932,5,Actor,1,Fredric March,Dr. Jekyll and Mr. Hyde
1931/1932,5,Actress,,Marie Dressler,Emma
1931/1932,5,Actress,,Lynn Fontanne,The Guardsman
1931/1932,5,Actress,1,Helen Hayes,The Sin of Madelon Claudet
1931/1932,5,Art Direction,,À Nous la Liberté ,Lazare Meerson
1931/1932,5,Art Direction,,Arrowsmith ,Richard Day
1931/1932,5,Art Direction,1,Transatlantic ,Gordon Wiles
1931/1932,5,Cinematography,,Arrowsmith ,Ray June
1931/1932,5,Cinematography,,Dr. Jekyll and Mr. Hyde ,Karl Struss
1931/1932,5,Cinematography,1,Shanghai Express ,Lee Garmes
1931/1932,5,Directing,1,Bad Girl ,Frank Borzage
1931/1932,5,Directing,,The Champ ,King Vidor
1931/1932,5,Directing,,Shanghai Express ,Josef Von Sternberg
1931/1932,5,Outstanding Production,,Arrowsmith ,Samuel Goldwyn Productions
1931/1932,5,Outstanding Production,,Bad Girl ,Fox
1931/1932,5,Outstanding Production,,The Champ ,Metro-Goldwyn-Mayer
1931/1932,5,Outstanding Production,,Five Star Final ,First National
1931/1932,5,Outstanding Production,1,Grand Hotel ,Metro-Goldwyn-Mayer
1931/1932,5,Outstanding Production,,One Hour with You ,Paramount Publix
1931/1932,5,Outstanding Production,,Shanghai Express ,Paramount Publix
1931/1932,5,Outstanding Production,,The Smiling Lieutenant ,Paramount Publix
1931/1932,5,Short Subject (Cartoon),1,Flowers and Trees ,"Walt Disney, Producer"
1931/1932,5,Short Subject (Cartoon),,It's Got Me Again ,"Leon Schlesinger, Producer"
1931/1932,5,Short Subject (Cartoon),,Mickey's Orphans ,"Walt Disney, Producer"
1931/1932,5,Short Subject (Comedy),,The Loud Mouth ,"Mack Sennett, Producer"
1931/1932,5,Short Subject (Comedy),1,The Music Box ,"Hal Roach, Producer"
1931/1932,5,Short Subject (Comedy),,Scratch-As-Catch-Can ,RKO Radio
1931/1932,5,Short Subject (Comedy),,Stout Hearts and Willing Hands ,RKO Radio
1931/1932,5,Short Subject (Novelty),,Screen Souvenirs ,Paramount Publix
1931/1932,5,Short Subject (Novelty),,Swing High ,Metro-Goldwyn-Mayer
1931/1932,5,Short Subject (Novelty),1,Wrestling Swordfish ,"Mack Sennett, Producer"
1931/1932,5,Sound Recording,,Metro-Goldwyn-Mayer Studio Sound Department,
1931/1932,5,Sound Recording,1,Paramount Publix Studio Sound Department,
1931/1932,5,Sound Recording,,RKO Radio Studio Sound Department,
1931/1932,5,Sound Recording,,Warner Brothers-First National Studio Sound Department,
1931/1932,5,Writing (Adaptation),,Arrowsmith ,Sidney Howard
1931/1932,5,Writing (Adaptation),1,Bad Girl ,Edwin Burke
1931/1932,5,Writing (Adaptation),,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
1931/1932,5,Writing (Original Story),1,The Champ ,Frances Marion
1931/1932,5,Writing (Original Story),,Lady and Gent ,"Grover Jones, William Slavens McNutt"
1931/1932,5,Writing (Original Story),,The Star Witness ,Lucien Hubbard
1931/1932,5,Writing (Original Story),,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
1931/1932,5,Special Award,1,Walt Disney,“Mickey Mouse”
1932/1933,6,Actor,,Leslie Howard,Berkeley Square
1932/1933,6,Actor,1,Charles Laughton,The Private Life of Henry VIII
1932/1933,6,Actor,,Paul Muni,I Am a Fugitive from a Chain Gang
1932/1933,6,Actress,1,Katharine Hepburn,Morning Glory
1932/1933,6,Actress,,May Robson,Lady for a Day
1932/1933,6,Actress,,Diana Wynyard,Cavalcade
1932/1933,6,Art Direction,1,Cavalcade ,William S. Darling
1932/1933,6,Art Direction,,A Farewell to Arms ,"Hans Dreier, Roland Anderson [Second]"
1932/1933,6,Art Direction,,When Ladies Meet ,Cedric Gibbons [Third]
1932/1933,6,Assistant Director,,Percy Ikerd (Fox),
1932/1933,6,Assistant Director,1,William Tummel (Fox),
1932/1933,6,Assistant Director,1,Charles Dorian (Metro-Goldwyn-Mayer),
1932/1933,6,Assistant Director,,Bunny Dull (Metro-Goldwyn-Mayer),
1932/1933,6,Assistant Director,,John S. Waters (Metro-Goldwyn-Mayer),
1932/1933,6,Assistant Director,1,Charles Barton (Paramount),
1932/1933,6,Assistant Director,,Sidney S. Brod (Paramount),
1932/1933,6,Assistant Director,,Arthur Jacobson (Paramount),
1932/1933,6,Assistant Director,,Eddie Killey (RKO Radio),
1932/1933,6,Assistant Director,1,Dewey Starkey (RKO Radio),
1932/1933,6,Assistant Director,1,Fred Fox (United Artists),
1932/1933,6,Assistant Director,,Benjamin Silvey (United Artists),
1932/1933,6,Assistant Director,1,Scott Beal (Universal),
1932/1933,6,Assistant Director,,Joe McDonough (Universal),
1932/1933,6,Assistant Director,,W. J. Reiter (Universal),
1932/1933,6,Assistant Director,,Al Alborn (Warner Brothers),
1932/1933,6,Assistant Director,1,Gordon Hollingshead (Warner Brothers),
1932/1933,6,Assistant Director,,Frank X. Shaw (Warner Brothers),
1932/1933,6,Cinematography,1,A Farewell to Arms ,"Charles Bryant Lang, Jr."
1932/1933,6,Cinematography,,Reunion in Vienna ,George J. Folsey [Second]
1932/1933,6,Cinematography,,The Sign of the Cross ,Karl Struss [Third]
1932/1933,6,Directing,1,Cavalcade ,Frank Lloyd
1932/1933,6,Directing,,Lady for a Day ,Frank Capra [Second]
1932/1933,6,Directing,,Little Women ,George Cukor [Third]
1932/1933,6,Outstanding Production,1,Cavalcade ,Fox
1932/1933,6,Outstanding Production,,A Farewell to Arms ,Paramount [Second]
1932/1933,6,Outstanding Production,,42nd Street ,Warner Brothers
1932/1933,6,Outstanding Production,,I Am a Fugitive from a Chain Gang ,Warner Brothers
1932/1933,6,Outstanding Production,,Lady for a Day ,Columbia
1932/1933,6,Outstanding Production,,Little Women ,RKO Radio [Third]
1932/1933,6,Outstanding Production,,The Private Life of Henry VIII ,London Films
1932/1933,6,Outstanding Production,,She Done Him Wrong ,Paramount
1932/1933,6,Outstanding Production,,Smilin' Through ,Metro-Goldwyn-Mayer
1932/1933,6,Outstanding Production,,State Fair ,Fox
1932/1933,6,Short Subject (Cartoon),,Building a Building ,"Walt Disney, Producer [Second]"
1932/1933,6,Short Subject (Cartoon),,The Merry Old Soul ,"Walter Lantz, Producer [Third]"
1932/1933,6,Short Subject (Cartoon),1,The Three Little Pigs ,"Walt Disney, Producer"
1932/1933,6,Short Subject (Comedy),,Mister Mugg ,"Warren Doane, Producer [Third]"
1932/1933,6,Short Subject (Comedy),,A Preferred List ,"Louis Brock, Producer [Second]"
1932/1933,6,Short Subject (Comedy),1,So This Is Harris ,"Louis Brock, Producer"
1932/1933,6,Short Subject (Novelty),1,Krakatoa ,"Joe Rock, Producer"
1932/1933,6,Short Subject (Novelty),,Menu ,"Pete Smith, Producer [tied for 2nd]"
1932/1933,6,Short Subject (Novelty),,The Sea ,Educational [tied for 2nd]
1932/1933,6,Sound Recording,1,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/1933,6,Sound Recording,,42nd Street ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1932/1933,6,Sound Recording,,Gold Diggers of 1933 ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Third]"
1932/1933,6,Sound Recording,,I Am a Fugitive from a Chain Gang ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1932/1933,6,Writing (Adaptation),,Lady for a Day ,Robert Riskin [Second]
1932/1933,6,Writing (Adaptation),1,Little Women ,"Victor Heerman, Sarah Y. Mason"
1932/1933,6,Writing (Adaptation),,State Fair ,"Paul Green, Sonya Levien [Third]"
1932/1933,6,Writing (Original Story),1,One Way Passage ,Robert Lord
1932/1933,6,Writing (Original Story),,The Prizefighter and the Lady ,Frances Marion [Second]
1932/1933,6,Writing (Original Story),,Rasputin and the Empress ,Charles MacArthur [Third]
1934,7,Actor,1,Clark Gable,It Happened One Night
1934,7,Actor,,Frank Morgan,The Affairs of Cellini
1934,7,Actor,,William Powell,The Thin Man
1934,7,Actress,1,Claudette Colbert,It Happened One Night
1934,7,Actress,,Bette Davis,Of Human Bondage
1934,7,Actress,,Grace Moore,One Night of Love
1934,7,Actress,,Norma Shearer,The Barretts of Wimpole Street
1934,7,Art Direction,,The Affairs of Cellini ,Richard Day [Third]
1934,7,Art Direction,,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [Second]"
1934,7,Art Direction,1,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934,7,Assistant Director,,Cleopatra ,Cullen Tate [Second]
1934,7,Assistant Director,,Imitation of Life ,Scott Beal [Third]
1934,7,Assistant Director,1,Viva Villa! ,John Waters
1934,7,Cinematography,,The Affairs of Cellini ,Charles Rosher [Third]
1934,7,Cinematography,1,Cleopatra ,Victor Milner
1934,7,Cinematography,,Operator 13 ,George Folsey [Second]
1934,7,Directing,1,It Happened One Night ,Frank Capra
1934,7,Directing,,One Night of Love ,Victor Schertzinger [Third]
1934,7,Directing,,The Thin Man ,W. S. Van Dyke [Second]
1934,7,Film Editing,,Cleopatra ,Anne Bauchens [Third]
1934,7,Film Editing,1,Eskimo ,Conrad Nervig
1934,7,Film Editing,,One Night of Love ,Gene Milford [Second]
1934,7,Music (Scoring),,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [Second]"
1934,7,Music (Scoring),,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [Third]"
1934,7,Music (Scoring),1,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934,7,Music (Song),,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [Third]
1934,7,Music (Song),1,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934,7,Music (Song),,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [Second]
1934,7,Outstanding Production,,The Barretts of Wimpole Street ,Metro-Goldwyn-Mayer [Second]
1934,7,Outstanding Production,,Cleopatra ,Paramount
1934,7,Outstanding Production,,Flirtation Walk ,First National
1934,7,Outstanding Production,,The Gay Divorcee ,RKO Radio
1934,7,Outstanding Production,,Here Comes the Navy ,Warner Brothers
1934,7,Outstanding Production,,The House of Rothschild ,20th Century [Third]
1934,7,Outstanding Production,,Imitation of Life ,Universal
1934,7,Outstanding Production,1,It Happened One Night ,Columbia
1934,7,Outstanding Production,,One Night of Love ,Columbia
1934,7,Outstanding Production,,The Thin Man ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,,Viva Villa! ,Metro-Goldwyn-Mayer
1934,7,Outstanding Production,,The White Parade ,Jesse L. Lasky (production company)
1934,7,Short Subject (Cartoon),,Holiday Land ,"Charles Mintz, Producer [Third]"
1934,7,Short Subject (Cartoon),,Jolly Little Elves ,"Walter Lantz, Producer [Second]"
1934,7,Short Subject (Cartoon),1,The Tortoise and the Hare ,"Walt Disney, Producer"
1934,7,Short Subject (Comedy),1,La Cucaracha ,"Kenneth Macgowan, Producer"
1934,7,Short Subject (Comedy),,Men in Black ,"Jules White, Producer [Third]"
1934,7,Short Subject (Comedy),,"What, No Men! ",Warner Brothers [Second]
1934,7,Short Subject (Novelty),,Bosom Friends ,Skibo Productions [Third]
1934,7,Short Subject (Novelty),1,City of Wax ,"Stacy Woodard and Horace Woodard, Producers"
1934,7,Short Subject (Novelty),,Strikes and Spares ,"Pete Smith, Producer [Second]"
1934,7,Sound Recording,,The Affairs of Cellini ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1934,7,Sound Recording,,Cleopatra ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,7,Sound Recording,,Flirtation Walk ,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]"
1934,7,Sound Recording,,The Gay Divorcee ,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director [Third]"
1934,7,Sound Recording,,Imitation of Life ,"Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1934,7,Sound Recording,1,One Night of Love ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1934,7,Sound Recording,,Viva Villa! ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1934,7,Sound Recording,,The White Parade ,"Fox Studio Sound Department, E. H. Hansen, Sound Director"
1934,7,Writing (Adaptation),1,It Happened One Night ,Robert Riskin
1934,7,Writing (Adaptation),,The Thin Man ,"Frances Goodrich, Albert Hackett [Second]"
1934,7,Writing (Adaptation),,Viva Villa! ,Ben Hecht [Third]
1934,7,Writing (Original Story),,Hide-Out ,Mauri Grashin [Third]
1934,7,Writing (Original Story),1,Manhattan Melodrama ,Arthur Caesar
1934,7,Writing (Original Story),,The Richest Girl in the World ,Norman Krasna [Second]
1934,7,Special Award,1,Shirley Temple,
1935,8,Actor,,Clark Gable,Mutiny on the Bounty
1935,8,Actor,,Charles Laughton,Mutiny on the Bounty
1935,8,Actor,1,Victor McLaglen,The Informer
1935,8,Actor,,Paul Muni,Black Fury
1935,8,Actor,,Franchot Tone,Mutiny on the Bounty
1935,8,Actress,,Elisabeth Bergner,Escape Me Never
1935,8,Actress,,Claudette Colbert,Private Worlds
1935,8,Actress,1,Bette Davis,Dangerous
1935,8,Actress,,Katharine Hepburn,Alice Adams
1935,8,Actress,,Miriam Hopkins,Becky Sharp
1935,8,Actress,,Merle Oberon,The Dark Angel
1935,8,Art Direction,1,The Dark Angel ,Richard Day
1935,8,Art Direction,,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
1935,8,Art Direction,,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
1935,8,Assistant Director,,David Copperfield ,Joseph Newman [Third]
1935,8,Assistant Director,,Les Miserables ,Eric Stacey
1935,8,Assistant Director,1,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
1935,8,Assistant Director,,A Midsummer Night's Dream ,Sherry Shourds [Second]
1935,8,Cinematography,,Barbary Coast ,Ray June
1935,8,Cinematography,,The Crusades ,Victor Milner [Third]
1935,8,Cinematography,,Les Miserables ,Gregg Toland [Second]
1935,8,Cinematography,1,A Midsummer Night's Dream ,Hal Mohr
1935,8,Dance Direction,,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
1935,8,Dance Direction,,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
1935,8,Dance Direction,,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
1935,8,Dance Direction,1,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,8,Dance Direction,,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
1935,8,Dance Direction,,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
1935,8,Dance Direction,,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
1935,8,Dance Direction,,Benjamin Zemach,Hall of Kings number from She
1935,8,Directing,,Captain Blood ,Michael Curtiz [Second]
1935,8,Directing,1,The Informer ,John Ford
1935,8,Directing,,The Lives of a Bengal Lancer ,Henry Hathaway [Third]
1935,8,Directing,,Mutiny on the Bounty ,Frank Lloyd
1935,8,Film Editing,,David Copperfield ,Robert J. Kern
1935,8,Film Editing,,The Informer ,George Hively [Third]
1935,8,Film Editing,,Les Miserables ,Barbara McLean
1935,8,Film Editing,,The Lives of a Bengal Lancer ,Ellsworth Hoagland
1935,8,Film Editing,1,A Midsummer Night's Dream ,Ralph Dawson
1935,8,Film Editing,,Mutiny on the Bounty ,Margaret Booth [Second]
1935,8,Music (Scoring),,Captain Blood ,"Warner Brothers-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold) [Third]"
1935,8,Music (Scoring),1,The Informer ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)"
1935,8,Music (Scoring),,Mutiny on the Bounty ,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart) [Second]"
1935,8,Music (Scoring),,Peter Ibbetson ,"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)"
1935,8,Music (Song),,"""Cheek To Cheek"" from Top Hat",Music and Lyrics by Irving Berlin [Second]
1935,8,Music (Song),,"""Lovely To Look At"" from Roberta",Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh [Third]
1935,8,Music (Song),1,"""Lullaby Of Broadway"" from Gold Diggers of 1935",Music by Harry Warren; Lyrics by Al Dubin
